ano,local,feriados
2023,RECIFE,"08-12-2023"
2024,RECIFE,"24-06-2024,16-07-2024"
2025,RECIFE,"24-06-2025,16-07-2025,08-12-2025"
2023,BRASIL,"01-01-2023,21-02-2023,07-04-2023,21-04-2023,01-05-2023,07-09-2023,12-10-2023,02-11-2023,15-11-2023,25-12-2023"
2023,PERNAMBUCO,"06-03-2023"
2023,RECESSO,"17-02-2023,20-02-2023,22-02-2023,06-04-2023,23-06-2023,08-09-2023,13-10-2023,03-11-2023,26-12-2023,27-12-2023,28-12-2023,29-12-2023"
2023,GARANHUNS,"08-06-2023,13-06-2023"
2023,CARUARU,"18-05-2023,29-06-2023,15-09-2023"
2023,PETROLINA,"08-06-2023,21-09-2023"
2023,VITÓRIA,"17-01-2023,08-06-2023,03-08-2023,08-12-2023"
2023,ARCOVERDE,"11-09-2023"
2023,CARPINA,"06-01-2023,11-09-2023"
2023,FLORESTA,"20-06-2023,22-12-2023"
2023,GOIANA,"08-12-2023"
2023,IPOJUCA,"30-03-2023,08-06-2023,29-09-2023"
2023,SALGUEIRO,"13-06-2023"
2023,SANTA CRUZ DO CAPIBARIBE,"29-09-2023,05-09-2023,29-12-2023"
2023,CABO DE SANTO AGOSTINHO,"13-06-2023,31-10-2023"
2023,GRAVATÁ,"09-01-2023,15-03-2023,26-07-2023"
2023,SERRA TALHADA,"08-09-2023"
2024,BRASIL,"01-01-2024,13-02-2024,29-03-2024,01-05-2024,15-11-2024,25-12-2024"
2024,PERNAMBUCO,"06-03-2024,24-06-2024"
2024,RECESSO,"09-02-2024,12-02-2024,14-02-2024,28-03-2024,24-12-2024,31-12-2024"
2024,GARANHUNS,"30-05-2024,13-06-2024"
2024,PETROLINA,"30-05-2024,15-08-2024"
2024,VITÓRIA,"17-01-2024,06-05-2024,30-05-2024"
2024,ARCOVERDE,"11-09-2024,23-09-2024"
2024,CARPINA,"19-03-2024,11-09-2024"
2024,FLORESTA,"20-06-2024"
2024,IPOJUCA,"30-05-2024"
2024,SALGUEIRO,"30-04-2024,13-06-2024,23-12-2024"
2024,SANTA CRUZ DO CAPIBARIBE
2024,CABO DE SANTO AGOSTINHO,"13-06-2024,09-07-2024,31-10-2024"
2024,GRAVATÁ,"15-01-2024,15-03-2024,26-07-2024"
2024,SERRA TALHADA,"06-05-2024"
2025,BRASIL,"01-01-2025,04-03-2025,18-04-2025,21-04-2025,01-05-2025,25-12-2025"
2025,PERNAMBUCO,"06-03-2025,24-06-2025"
2025,RECESSO,"28-02-2025,03-03-2025,05-03-2025,17-04-2025,02-05-2025,23-06-2025,24-12-2025,31-05-2025"
2025,GARANHUNS,"13-06-2025,19-06-2025"
2025,CARUARU,"15-09-2025"
2025,PETROLINA,"19-06-2025,15-08-2025"
2025,VITÓRIA,"17-01-2025,06-05-2025,19-06-2025,08-12-2025"
2025,ARCOVERDE,"11-09-2025,23-09-2025"
2025,CARPINA,"06-01-2025,19-03-2025,11-09-2025"
2025,FLORESTA,"20-06-2025,22-12-2025"
2025,GOIANA,"08-12-2025"
2025,IPOJUCA,"19-06-2025,29-09-2025"
2025,SALGUEIRO,"30-04-2025,13-06-2025,23-12-2025"
2025,SANTA CRUZ DO CAPIBARIBE,"29-09-2025,29-12-2025"
2025,CABO DE SANTO AGOSTINHO,"13-06-2025,09-07-2025,31-10-2025"
2025,GRAVATÁ,"13-01-2025"
2025,SERRA TALHADA,"06-05-2025,08-09-2025"